timestamp,user_id,members,mentions,number_message
29/06/2017,9,6 83,0,1
29/06/2017,10,3,0,5
29/06/2017,10,17,0,25
29/06/2017,10,85,0,7
29/06/2017,14,9,0,1
29/06/2017,14,16,0,1
29/06/2017,14,143,0,2
29/06/2017,16,3,0,10
29/06/2017,16,4,0,2
29/06/2017,16,14,0,2
29/06/2017,16,26,0,1
29/06/2017,16,53,0,12
29/06/2017,16,69,0,2
29/06/2017,16,141,0,4
29/06/2017,17,10,17,21
29/06/2017,17,53,0,5
29/06/2017,17,62,0,2
29/06/2017,17,83,0,3
29/06/2017,23,3,23,2
29/06/2017,23,4,0,1
29/06/2017,23,5,23,71
29/06/2017,23,26,0,33
29/06/2017,23,50,0,4
29/06/2017,26,23,26,66
29/06/2017,26,51,0,6
29/06/2017,33,3,0,1
29/06/2017,47,5,0,8
29/06/2017,47,12 51 42,47,2
29/06/2017,50,4,0,5
29/06/2017,50,23,0,4
29/06/2017,50,62,0,2
29/06/2017,50,141,0,1
29/06/2017,50,9 3,0,3
29/06/2017,51,26,51,3
29/06/2017,51,62,0,11
29/06/2017,53,16,0,17
29/06/2017,53,17,0,4
29/06/2017,53,143,0,3
29/06/2017,56,3,0,5
29/06/2017,56,59,56,9
29/06/2017,56,4 59,0,9
29/06/2017,59,4,0,2
