timestamp,user_id,members,mentions,message_number
05/07/2017,4,3 66 56 16 144 59,0 4 0 0 0,4 3 3 2 7
05/07/2017,6,3 83 85 50 90 63 141,0 0 0 0 0 0 83,25 1 19 1 22 1 3
05/07/2017,9,3 83 53 23 138 16 62,0 0 0 0 0 0 0,1 1 4 5 1 3 8
05/07/2017,10,3 65 14 16,0 0 0 0,12 6 3 1
05/07/2017,11,3 56 79 50 141,0 0 0 0 0,1 2 3 1 3
05/07/2017,14,138 79 16 10 74 62,14 0 14 0 14 0,10 1 5 4 3 3
05/07/2017,16,69 53 79 10 74 4 85 16 9,0 16 0 0 16 0 0 16 0,2 2 5 1 7 2 1 6 1
05/07/2017,XXXXX,3 56,0 0,3 2
05/07/2017,XXXXX,5 50 26 59 9,0 0 0 0 0 0,3 13 32 4 5 5
05/07/2017,XXXXX,4 23 51 59,0 0 0 0,1 42 1 2
05/07/2017,33,143 154 53,0 0 0,2 2 13
05/07/2017,XXXXX,59,0,2
05/07/2017,XXXXX,51,0,3
05/07/2017,50,147 6 23 59 62,0 0 0 0 0,1 3 1 4 4
05/07/2017,51,26,0,1
05/07/2017,53,80 33 16 9 74,0 0 0 0 0,1 8 5 3 8
05/07/2017,XXXXX,3 11 81 83 4 17 59 152 141,0 0 0 0 56 0 0 0 59,4 4 1 33 8 1 1 2 4
05/07/2017,59,4 56 23 50 26,0 59 0 0 0,6 3 3 28 5
05/07/2017,62,9 14 50,0 0 0,2 6 6
05/07/2017,63,3 6,0 0,2 10
05/07/2017,65,10,0,1
05/07/2017,66,4 33 138 143 9,0 0 0 0,4 1 1 2
05/07/2017,XXXXX,83 16,0 69,1 13
05/07/2017,74,145 83 53 14 147 138 146,74 0 0 0 0 0,5 1 11 3 2 3
05/07/2017,79,50 11 14 16,0 0 0 0,1 2 8 1
05/07/2017,XXXXX,53,0,8
05/07/2017,XXXXX,56,0,5
